"chamber","district_number","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
"House",80,133772,10650,2097,2686,477,53,149903,0.892390412466728,0.0710459430431679,0.0139890462499083,0.0179182538041267,0.00353561970073981,"CVAP",2022,0.339456088222272,0.652638872546005,"R",31.3,31.3,22261,17,103
"House",81,119010,13917,5630,2201,537,25,141400,0.841654879773692,0.0984229137199434,0.0398161244695898,0.0155657708628006,0.00397454031117397,"CVAP",2022,0.339020144583902,0.651908702448801,"R",31.3,31.3,18944,18,104
"House",82,59049,44800,11625,1236,945,0,117930,0.500712286949886,0.37988637327228,0.0985754261002289,0.0104807936911727,0.00801322818621216,"CVAP",2022,0.351521501274874,0.637655314889926,"R",28.6,28.6,22672,22,99
"House",83,94534,25762,12442,1515,1769,18,136365,0.693242400909324,0.188919444138892,0.091240420929124,0.011109888901111,0.0131045356213105,"CVAP",2022,0.283354612640477,0.705417337265731,"R",42.2,42.2,22662,8,113
"House",84,89488,18798,29356,2173,1014,14,140895,0.635139642996558,0.133418503140637,0.208353738599666,0.0154228326058412,0.00729621349231697,"CVAP",2022,0.451329819438693,0.539024083984749,"R",8.8,8.8,22129,64,57
"House",85,90341,26045,18770,2970,729,90,139114,0.649402648187817,0.187220552927815,0.134925313052604,0.0213493968975085,0.00588725793234326,"CVAP",2022,0.440105789109599,0.54934726357032,"R",10.9,10.9,20418,59,62
"House",86,118740,13467,7104,2012,733,44,142162,0.835244298757755,0.0947299559657292,0.0499711596629198,0.0141528678549823,0.00546559558813185,"CVAP",2022,0.367922096737985,0.621739501958553,"R",25.4,25.4,21983,31,90
"House",87,108541,15574,9025,3022,550,4,136432,0.795568488331183,0.114152105077988,0.0661501700480826,0.0221502286853524,0.00406063093702357,"CVAP",2022,0.46923417844577,0.520263286251858,"R",5.1,5.1,20958,68,53
"House",88,32682,18640,57158,3149,505,14,112465,0.290597074645445,0.165740452585249,0.508229226870582,0.0279998221668964,0.00461476903925666,"CVAP",2022,0.739382621449468,0.249709017349638,"D",49,-49,23116,113,8
"House",89,37154,39212,16024,2808,340,140,96210,0.386176073173267,0.407566780999896,0.166552333437273,0.0291861552853134,0.00498908637355784,"CVAP",2022,0.568768631140048,0.419118148159006,"D",15,-15,18797,93,28
"House",90,80795,16748,32164,2946,595,75,133966,0.603100786766792,0.125016795306272,0.240090769299673,0.0219906543451323,0.00500126897869609,"CVAP",2022,0.58121024048053,0.409029422798936,"D",17.2,-17.2,20006,96,25
"House",91,106655,18710,7124,4178,512,25,137345,0.776548108777167,0.136226291455823,0.0518693800283956,0.030419745895373,0.00390986202628417,"CVAP",2022,0.50033679003862,0.491751340720597,"D",0.9,-0.9,23351,80,41
