"people_id","person_hash","party_id","state_id","party","role_id","role","legislator_name","first_name","middle_name","last_name","suffix","nickname","district","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","committee_sponsor","committee_id","state_federal","session"
20958,"v4wfa7ef","2",9,"R",1,"Rep","Mike Caruso","Michael","A.","Caruso","","Mike","HD-087",45388164,184475,"",652561,"http://ballotpedia.org/Mike_Caruso","",0,0,0,"2023-2023_Regular_Session"
21024,"vb66clzl","2",9,"R",1,"Rep","James Buchanan","James","Vernon","Buchanan","","","HD-074",44113817,176798,"",663133,"http://ballotpedia.org/James_Buchanan_(Florida)","",0,0,0,"2023-2023_Regular_Session"
21025,"m8fyzly3","2",9,"R",2,"Sen","Nick DiCeglie","Nicola","G.","DiCeglie","","Nick","SD-018",336255,184438,"",652515,"http://ballotpedia.org/Nick_DiCeglie","",0,0,0,"2023-2023_Regular_Session"
21029,"ss5r9rz7","1",9,"D",1,"Rep","Fentrice Driskell","Fentrice","","Driskell","","","HD-067",45388118,184423,"",655600,"http://ballotpedia.org/Fentrice_Driskell","",0,0,0,"2023-2023_Regular_Session"
21380,"3j0cn6yf","2",9,"R",1,"Rep","Randy Maggard","Randy","","Maggard","","","HD-054",69054,186158,"",709872,"http://ballotpedia.org/Randy_Maggard","",0,0,0,"2023-2023_Regular_Session"
21381,"u2fci01y","1",9,"D",1,"Rep","Dan Daley","Dan","","Daley","","","HD-096",47146673,149318,"",709876,"http://ballotpedia.org/Dan_Daley","",0,0,0,"2023-2023_Regular_Session"
21391,"gw0rt51v","2",9,"R",1,"Rep","Jason Shoaf","Jason","","Shoaf","","","HD-007",43047669,186156,"",709836,"http://ballotpedia.org/Jason_Shoaf","",0,0,0,"2023-2023_Regular_Session"
21700,"ixm68x3r","1",9,"D",1,"Rep","Allison Tant","Allison","E.","Tant","","","HD-009",160200,193753,"",739944,"http://ballotpedia.org/Allison_Tant","",0,0,0,"2023-2023_Regular_Session"
21701,"91ohersw","1",9,"D",1,"Rep","Robin Bartleman","Robin","","Bartleman","","","HD-103",806016,194479,"",740285,"http://ballotpedia.org/Robin_Bartleman","",0,0,0,"2023-2023_Regular_Session"
21739,"rh0ebpc2","2",9,"R",1,"Rep","Linda Chaney","Linda","","Chaney","","","HD-061",49845659,194564,"",740444,"http://ballotpedia.org/Linda_Chaney","",0,0,0,"2023-2023_Regular_Session"
21758,"mhz7l0j4","2",9,"R",1,"Rep","David Borrero","David","","Borrero","","","HD-111",49845727,194467,"",740296,"http://ballotpedia.org/David_Borrero","",0,0,0,"2023-2023_Regular_Session"
21775,"leb4b3n8","2",9,"R",2,"Sen","Ileana Garcia","Ileana","","Garcia","","","SD-036",50171409,194449,"",242995,"http://ballotpedia.org/Ileana_Garcia","",0,0,0,"2023-2023_Regular_Session"
21780,"zeycd5am","1",9,"D",1,"Rep","Kristen Arrington","Kristen","","Arrington","","","HD-046",28148917,194624,"",744698,"http://ballotpedia.org/Kristen_Arrington","",0,0,0,"2023-2023_Regular_Session"
21781,"wsj92iwn","2",9,"R",1,"Rep","Thomas Fabricio","Thomas","P.","Fabricio","","Tom","HD-110",49845720,194482,"",740278,"http://ballotpedia.org/Tom_Fabricio","",0,0,0,"2023-2023_Regular_Session"
21782,"87jh4enj","2",9,"R",1,"Rep","Alejandro Rizo","Alejandro","","Rizo","Jr.","Alex","HD-112",49845738,194462,"",740319,"http://ballotpedia.org/Alex_Rizo","",0,0,0,"2023-2023_Regular_Session"
21887,"e063soe3","1",9,"D",1,"Rep","Yvonne Hayes Hinson","Yvonne","","Hayes Hinson","","","HD-021",44044505,182253,"",637205,"http://ballotpedia.org/Yvonne_Hayes_Hinson","",0,0,0,"2023-2023_Regular_Session"
21888,"78gk9ao5","1",9,"D",1,"Rep","Christine Hunschofsky","Christine","Maria","Hunschofsky","","","HD-095",49845708,194488,"",740359,"http://ballotpedia.org/Christine_Hunschofsky","",0,0,0,"2023-2023_Regular_Session"
21892,"21akiis8","2",9,"R",1,"Rep","Sam Garrison","Sam","","Garrison","","","HD-011",49845578,193775,"",739952,"http://ballotpedia.org/Sam_Garrison","",0,0,0,"2023-2023_Regular_Session"
21920,"61wei6k0","1",9,"D",1,"Rep","Michele Rayner-Goolsby","Michele","","Rayner-Goolsby","","","HD-062",49845663,194561,"",740448,"http://ballotpedia.org/Michele_Rayner","",0,0,0,"2023-2023_Regular_Session"
21981,"y2dyueeq","2",9,"R",1,"Rep","Fred Hawkins","Fred","","Hawkins","Jr.","","HD-035",45869425,115248,"",740299,"http://ballotpedia.org/Fred_Hawkins","",0,0,0,"2023-2023_Regular_Session"
21983,"gk5cs0jg","2",9,"R",1,"Rep","John Snyder","John","","Snyder","","","HD-086",49845683,194524,"",740415,"http://ballotpedia.org/John_Snyder","",0,0,0,"2023-2023_Regular_Session"
22022,"hplh0nrn","2",9,"R",1,"Rep","Mike Giallombardo","Mike","","Giallombardo","","","HD-079",49845675,146155,"",474518,"http://ballotpedia.org/Mike_Giallombardo","",0,0,0,"2023-2023_Regular_Session"
22129,"mb2156j2","2",9,"R",1,"Rep","Dana Trabulsy","Dana","","Trabulsy","","","HD-084",49845686,194522,"",740423,"http://ballotpedia.org/Dana_Trabulsy","",0,0,0,"2023-2023_Regular_Session"
22167,"at7jt366","2",9,"R",1,"Rep","Michelle Salzman","Michelle","Lynn","Salzman","","","HD-001",41617852,193539,"",739937,"http://ballotpedia.org/Michelle_Salzman","",0,0,0,"2023-2023_Regular_Session"
22173,"9d5gzskf","1",9,"D",1,"Rep","Marie Woodson","Marie","P.","Woodson","","","HD-105",552530,194484,"",740370,"http://ballotpedia.org/Marie_Woodson","",0,0,0,"2023-2023_Regular_Session"
22207,"slx08az4","2",9,"R",1,"Rep","Jenna Persons-Mulicka","Jenna","","Persons-Mulicka","","","HD-078",45903473,194544,"",740469,"http://ballotpedia.org/Jenna_Persons","",0,0,0,"2023-2023_Regular_Session"
22261,"b6kfhnbd","2",9,"R",1,"Rep","Adam Botana","Adam","","Botana","","","HD-080",49845673,194550,"",740462,"http://ballotpedia.org/Adam_Botana","",0,0,0,"2023-2023_Regular_Session"
22415,"f973rn7u","2",9,"R",1,"Rep","Keith Truenow","Keith","","Truenow","","","HD-026",49845600,194608,"",739988,"http://ballotpedia.org/Keith_Truenow","",0,0,0,"2023-2023_Regular_Session"
22512,"z587gd6k","1",9,"D",1,"Rep","Felicia Simone Robinson","Felicia","Simone","Robinson","","","HD-104",49845717,130220,"",740275,"http://ballotpedia.org/Felicia_Simone_Robinson","",0,0,0,"2023-2023_Regular_Session"
22516,"vha3cc9i","1",9,"D",1,"Rep","Kevin Chambliss","Kevin","Dykemia","Chambliss","","","HD-117",49845747,115433,"",452742,"http://ballotpedia.org/Kevin_Chambliss","",0,0,0,"2023-2023_Regular_Session"
22527,"iykjlne1","2",9,"R",1,"Rep","Demi Busatta Cabrera","Demi","","Busatta Cabrera","","","HD-114",49845744,194460,"",605634,"http://ballotpedia.org/Demi_Busatta_Cabrera","",0,0,0,"2023-2023_Regular_Session"
22528,"1y03g0zp","1",9,"D",1,"Rep","Christopher Benjamin","Christopher","","Benjamin","","","HD-107",49845730,194464,"",740304,"http://ballotpedia.org/Christopher_Benjamin","",0,0,0,"2023-2023_Regular_Session"
22529,"a0rhm7tw","2",9,"R",1,"Rep","Fiona McFarland","Fiona","","McFarland","","","HD-073",49845668,194559,"",740452,"http://ballotpedia.org/Fiona_McFarland","",0,0,0,"2023-2023_Regular_Session"
22550,"ohit2l5d","1",9,"D",1,"Rep","Angela Nixon","Angela","","Nixon","","","HD-013",12016117,193764,"",285510,"http://ballotpedia.org/Angela_Nixon","",0,0,0,"2023-2023_Regular_Session"
22559,"1he9flzd","2",9,"R",1,"Rep","Patt Maney","T.","Patterson","Maney","","Patt","HD-004",49845565,193745,"",739941,"http://ballotpedia.org/T._Patt_Maney","",0,0,0,"2023-2023_Regular_Session"
22580,"fsfxplwk","2",9,"R",1,"Rep","Jim Mooney","James","Vernon","Mooney","Jr.","Jim","HD-120",49845754,194453,"",740179,"http://ballotpedia.org/Jim_Mooney","",0,0,0,"2023-2023_Regular_Session"
22660,"ujz2v3zu","2",9,"R",1,"Rep","Webster Barnaby","Webster","","Barnaby","","","HD-029",49845589,194567,"",739971,"http://ballotpedia.org/Webster_Barnaby","",0,0,0,"2023-2023_Regular_Session"
22662,"g46vm6of","2",9,"R",1,"Rep","Kaylee Tuck","Kaylee","Alexis","Tuck","","","HD-083",49845643,194646,"",740410,"http://ballotpedia.org/Kaylee_Tuck","",0,0,0,"2023-2023_Regular_Session"
22672,"kr17w93p","2",9,"R",1,"Rep","Lauren Melo","Lauren","","Melo","","","HD-082",49845680,194529,"",740413,"http://ballotpedia.org/Lauren_Melo","",0,0,0,"2023-2023_Regular_Session"
22722,"n93x757e","2",9,"R",1,"Rep","Traci Koster","Traci","","Koster","","","HD-066",52311541,195064,"",750959,"http://ballotpedia.org/Traci_Koster","",0,0,0,"2023-2023_Regular_Session"
