"legislator_name","party","chamber","district_number","leg_n_votes_partisan","leg_mean_partisanship","sd_partisan_vote","se_partisan_vote","lower_bound","upper_bound","leg_label"
"Joe Gruters","R","Senate",22,1208,0.00951986754966887,0.0950680625951837,0.00273527613495211,0.00678459141471677,0.012255143684621,"Joe Gruters (R-22)"
"Joel Rudman","R","House",3,1212,0.00371287128712871,0,0,0.00371287128712871,0.00371287128712871,"Joel Rudman (R-3)"
"Johanna Lopez","D","House",43,1186,0.0337268128161889,0.165491837700657,0.00480545189483874,0.0289213609213501,0.0385322647110276,"Johanna Lopez (D-43)"
"John Snyder","R","House",86,1395,0.0010752688172043,0,0,0.0010752688172043,0.0010752688172043,"John Snyder (R-86)"
"John Temple","R","House",52,1251,0.00119904076738609,0,0,0.00119904076738609,0.00119904076738609,"John Temple (R-52)"
"Jonathan Martin","R","Senate",33,1261,0.00713719270420301,0.0794914580044938,0.00223853000219381,0.00489866270200921,0.00937572270639682,"Jonathan Martin (R-33)"
"Joseph Casello","D","House",90,997,0.0436308926780341,0.201268265045128,0.00637422990917971,0.0372566627688544,0.0500051225872138,"Joseph Casello (D-90)"
"Josie Tomkow","R","House",51,1107,0.000903342366757001,0.0300556544889144,0.000903342366757001,-0.00000000000000000010842021724855,0.001806684733514,"Josie Tomkow (R-51)"
"Juan Porras","R","House",119,1255,0.00239043824701195,0.0488531037480787,0.00137901915192319,0.00101141909508876,0.00376945739893514,"Juan Porras (R-119)"
"Karen Gonzalez Pittman","R","House",65,1074,0.00791433891992551,0.0860642014960446,0.0026261552887634,0.00528818363116211,0.0105404942086889,"Karen Gonzalez Pittman (R-65)"
"Katherine Waldron","D","House",93,1093,0.0439158279963403,0.199301437754919,0.00602837625758372,0.0378874517387566,0.0499442042539241,"Katherine Waldron (D-93)"
"Kathleen Passidomo","R","Senate",28,765,0.00130718954248366,0.0361550763031094,0.00130718954248366,0,0.00261437908496732,"Kathleen Passidomo (R-28)"
"Kaylee Tuck","R","House",83,1252,0.000399361022364217,0,0,0.000399361022364217,0.000399361022364217,"Kaylee Tuck (R-83)"
"Keith Perry","R","Senate",9,1504,0.00731382978723404,0.0259587065825583,0.000669359037366214,0.00664447074986783,0.00798318882460026,"Keith Perry (R-9)"
"Keith Truenow","R","House",26,1354,0.00332348596750369,0.0470880834807347,0.00127968088418695,0.00204380508331674,0.00460316685169065,"Keith Truenow (R-26)"
"Kelly Skidmore","D","House",92,1103,0.0217588395285585,0.124020496543522,0.00373426994773034,0.0180245695808281,0.0254931094762888,"Kelly Skidmore (D-92)"
"Kevin Chambliss","D","House",117,966,0.0357142857142857,0.168960411094588,0.00543621211798917,0.0302780735962965,0.0411504978322749,"Kevin Chambliss (D-117)"
"Kevin Steele","R","House",55,1164,0.00300687285223368,0.0414869598772034,0.001216004329385,0.00179086852284868,0.00422287718161868,"Kevin Steele (R-55)"
"Kimberly Berfield","R","House",58,1166,0.00385934819897084,0.0414869598772034,0.00121496099643496,0.00264438720253589,0.0050743091954058,"Kimberly Berfield (R-58)"
"Kimberly Daniels","D","House",14,967,0.0672182006204757,0.247394961168863,0.00795568561603867,0.059262515004437,0.0751738862365144,"Kimberly Daniels (D-14)"
"Kiyan Michael","R","House",16,1152,0.00347222222222222,0.0510309204467177,0.00150351291241939,0.00196870930980283,0.00497573513464161,"Kiyan Michael (R-16)"
"Kristen Arrington","D","House",46,1474,0.0234056987788331,0.132432942144748,0.00344942959958494,0.0199562691792482,0.026855128378418,"Kristen Arrington (D-46)"
"LaVon Bracy Davis","D","House",40,1250,0.0124,0.0404225771252445,0.00114332313593186,0.0112566768640681,0.0135433231359319,"LaVon Bracy Davis (D-40)"
"Lauren Book","D","Senate",35,1604,0.010286783042394,0.0663300458560915,0.00165618221091615,0.00863060083147786,0.0119429652533102,"Lauren Book (D-35)"
